Description,SUP,AD,SD,City,Total,Total H,(Alyssa) Latino_AN,(Alyssa) Latino_AN H,(Alyssa) Vietnamese_AN,(Alyssa) Vietnamese_AN H,(Alyssa) Chinese_AN,(Alyssa) Chinese_AN H
Total,,,,,,,,,,,,
Total,-,-,-,-,529649,248861,65323,39194,48245,21610,8872,5570
3053069,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 5,1889,1077,80,64,6,3,17,10
3053071,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 2,510,218,12,9,1,1,4,2
3053073,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 1,2806,1711,179,143,16,13,12,11
3053074,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 6,1078,634,53,47,2,2,10,9
3053075,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 1,1772,776,52,34,0,0,13,9
3053080,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,358,144,3,3,2,1,3,2
3053081,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 2,1237,604,65,51,4,3,4,4
3053082,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 5,2418,1368,72,58,10,6,5,4
3053083,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,2543,1133,113,80,10,6,18,16
3053084,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 6,2696,1478,116,91,11,11,23,17
3053085,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,1538,677,44,28,7,4,9,7
3053089,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 2,2091,905,82,54,18,11,18,10
3053090,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,353,145,14,7,6,2,2,1
3053091,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 6,1708,775,66,42,17,12,30,19
3053097,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 1,1625,947,90,78,4,4,9,7
3053098,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 1,1288,667,60,46,2,2,4,3
3053100,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 1,1864,1073,123,104,3,3,8,8
3053101,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 2,2424,1585,346,264,20,18,23,18
3053142,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 6,1521,606,34,23,40,17,123,69
3053143,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 6,5,2,0,0,0,0,0,0
3053145,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 7,1404,717,76,60,14,8,67,43
3053146,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 7,2426,1066,91,63,80,42,214,129
3053148,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 7,2213,957,110,68,48,27,153,77
3053153,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 2,10,6,1,1,0,0,0,0
3053154,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 5,3025,1634,112,84,12,8,49,32
3053155,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,396,204,18,15,6,4,13,9
3053156,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,40,15,3,2,1,1,0,0
3053158,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 7,206,98,4,3,5,3,4,3
3053159,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 7,2,2,0,0,0,0,0,0
3053160,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 7,1125,484,40,27,50,25,111,61
3053162,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 2,267,143,18,15,0,0,0,0
3053164,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,2,2,0,0,0,0,0,0
3053170,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,79,40,6,5,0,0,2,1
3053305,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 4,1648,729,56,35,9,5,55,35
3053308,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,1262,498,44,27,4,4,5,4
3053346,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,132,79,7,5,1,1,4,4
3053347,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,178,77,5,4,0,0,3,3
3053348,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,336,132,17,9,5,4,8,2
3053349,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,1,1,0,0,0,0,0,0
3053350,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 6,1963,851,55,32,10,5,29,22
